172.26.33.203;SARM_EST_NACIONAL_O_O_CSR_13084;7705SAR-M;B-7.0.R9;10.1.1.1/24;6;17:10:25.29;1.23%;196.318.128;SAM
172.26.33.204;SARA_LIRA_CSR_13539;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;246;01:01:04.77;6.81%;202.469.776;SAM
172.26.33.205;SARM_NUBLE_CSR_13020;7705SAR-M;B-7.0.R9;10.1.1.1/24;293;11:03:49.27;47.65%;194.220.880;SAM
172.26.33.206;SARM_GRAN_AVENIDA_LUCERNA_13760;7705SAR-M;B-7.0.R9;10.1.1.1/24;13;23:27:23.40;8.59%;192.910.064;SAM
172.26.33.21;SARM_JORGE_MCKNBRG_CSR_R4_13719;7705SAR-M;B-7.0.R9;10.1.1.1/24;292;10:49:59.33;4.36%;191.075.008;SAM
172.26.33.211;SARM_CHILOE_CSR_CORP_13540;7705SAR-M;B-7.0.R9;10.1.1.1/24;3;00:38:21.20;37.87%;195.269.504;SAM
172.26.33.213;SARM_SDIEGO_MATTA_CSR_CORP_13530;7705SAR-M;B-7.0.R9;10.1.1.1/24;182;13:39:55.00;8.12%;182.686.016;SAM
172.26.33.216;SAR8_CORP_LO_CANAS_13103;7705SAR-8;B-6.2.R7;10.1.1.1/24;90;07:36:07.36;40.77%;117.692.304;SAM
172.26.33.214;SARM_PQUE_OHIGGINS2_CSR_13903;7705SAR-M;B-7.0.R9;10.1.1.1/24;292;10:15:09.71;30.89%;194.220.880;SAM
172.26.33.217;SARM_LO_CANAS_CSR_CORP_13022;7705SAR-M;B-7.0.R9;10.1.1.1/24;293;11:02:54.63;37.89%;194.745.216;SAM
172.26.33.218;SARM_EKONO_COLOMBIA_CSR_13954;7705SAR-M;B-7.0.R9;10.1.1.1/24;259;21:34:21.67;56.11%;194.220.880;SAM
